uuid,stop,platform,line,direction,scheduled_departure,real_departure,delay_min,connection_exists
154fcb13-9633-5312-a171-1381acf58a76,Wuppertal Hbf,3,613,W.-tal Schulzentrum Süd,17:58,17:58,0.0,True
e1a657ad-d502-5f26-9277-cf97076ac00a,Wuppertal Hbf,1,623,Wuppertal Sonnenblume,17:58,17:58,0.0,True
14e2af3a-891b-503d-9fec-bc0eb533b497,Wuppertal Hbf,3,625,Wuppertal Sudberg,17:58,18:00,2.0,True
5af1aacf-c217-53ea-b2b1-b7da6df2ff2d,Wuppertal Hbf,5,S8,MG Hbf /Europaplatz,17:58,17:58,0.0,True
4bbeb962-ae2f-5020-81a0-c2d6e6cf24fc,Bochum Hbf,4,IC 2152 InterCity,Düsseldorf Hbf,17:30,17:58,28.0,True
700c19f3-c953-5946-8eff-38232076e669,Bochum Hbf,8,S1,Dortmund Hbf,17:44,17:49,5.0,True
f2fa20fe-107c-56dd-9f4c-6e0befb75394,Bochum Hbf,Gleis 3 (U),U35,Herne Schloß Strünkede,17:44,17:45,1.0,True
fd009db9-7b38-5193-9f86-100814bf53fc,Bochum Hbf,Gleis 1 (U),302,Gelsenkirchen Rheinelbestr.,17:45,,,True
2d60c6bd-b1cf-54ea-b2d1-23d95554c4ae,Bochum Hbf,6,RE16,Iserlohn,17:47,,,True
3e16c260-f5f9-5fe9-b545-220007f1e0be,Bochum Hbf,7,S1,Düsseldorf Hbf,17:47,17:47,0.0,True
5d8c9a0a-a31b-5bdc-b7f9-91344a2d3d65,Bochum Hbf,Gleis 4 (U),U35,Bochum Hustadt (TQ),17:47,17:47,0.0,True
69f78716-8647-50e2-9b7c-2a6451cbc428,Bochum Hbf,Gleis 2 (U),302,Bochum Langendreer S,17:48,17:48,0.0,True
e39236cc-0ec2-592c-a342-872805651e16,Bochum Hbf,Gleis 6 (U),316,Bochum Hordeler Str.,17:49,17:49,0.0,True
9f6e9089-af9f-5a2c-8765-a5b64adb5b9f,Bochum Hbf,Gleis 3 (U),U35,Bochum Riemke Markt,17:49,17:49,0.0,True
8505c8fe-48fe-574c-b84d-3fc27802d4ae,Bochum Hbf,Gleis 5 (U),308,Bochum Schürbankstr.,17:49,17:49,0.0,True
e1db8a69-875e-5345-affb-ce59d2840366,Bochum Hbf,Gleis 1 (U),310,BO Höntrop Kirche,17:49,17:49,0.0,True
9b843fc6-e16d-5013-a8d6-0594ed68bfa2,Bochum Hbf,1,RB46,Gelsenkirchen Hbf,17:49,17:49,0.0,True
994ed193-fded-5632-a109-14e1ad82a460,Bochum Hbf,06,350,Hattingen Mitte,17:51,17:51,0.0,True
55d7dace-9d64-57fe-9ba0-4113d62e6060,Bochum Hbf,Gleis 1 (U),318,Bochum Dahlhausen,17:51,17:51,0.0,True
5d1be791-e21c-5b83-8ad9-d8210a09f50f,Bochum Hbf,5,IC 2012 AllgÃ¤u,Dortmund Hbf,17:52,18:43,51.0,True
b7236d86-ebc3-5aa7-85ce-5857b7d2e4fd,Bochum Hbf,Gleis 4 (U),U35,Bochum Hustadt (TQ),17:52,17:52,0.0,True
53cf2b2c-8086-5d9d-b3cb-71cdf19d494c,Bochum Hbf,Gleis 2 (U),302,BO-Laer O-Werk,17:53,18:11,18.0,True
