uuid,stop,platform,line,direction,scheduled_departure,real_departure,delay_min,connection_exists
2bdc6c95-9daa-5068-a25c-d128c96578e3,MG Hbf /Europaplatz,3,ICE 254 ICE International,Amsterdam Centraal,21:51,21:52,1.0,True
05b270da-7af1-57a6-8adc-cf79edbb5549,Bochum Hbf,3,ICE 844 InterCityExpress,Köln Messe/Deutz Bf,21:25,,,True
c12bd6b4-55c4-5ebd-8552-27f5d25d2e26,Bochum Hbf,6,ICE 620 InterCityExpress,Dortmund Hbf,21:27,22:16,49.0,True
2f409231-975d-546a-9e00-e9c20b9d480a,Essen Hauptbahnhof,1,ICE 617 InterCityExpress,Stuttgart Hauptbahnhof (oben),21:00,21:08,8.0,True
4a8199f8-1106-5edc-8bd3-2fabc4074bca,Essen Hauptbahnhof,6,ICE 26 InterCityExpress,Dortmund Hbf,21:00,21:13,13.0,True
a5d026f5-ea86-5306-9486-b33725886084,Duisburg Hbf,12,ICE 1212 InterCityExpress,Dortmund Hbf,21:29,21:33,4.0,True
3a4e883d-f903-52da-a3f9-ca842dc5ef4a,Essen Hauptbahnhof,4,ICE 620 InterCityExpress,Dortmund Hbf,21:17,22:07,50.0,True
6862275a-1cc7-56f2-a442-8d041b0b1255,Düsseldorf Hbf,16,ICE 544 InterCityExpress,Köln Hbf,21:09,,,True
fd9e5df6-fde0-52fa-a715-425731b8ad57,Düsseldorf Hbf,18,ICE 1212 InterCityExpress,Dortmund Hbf,21:13,21:19,6.0,True
27d41635-caef-5be7-9113-5ab6cb959766,Düsseldorf Hbf,16,ICE 617 InterCityExpress,Stuttgart Hauptbahnhof (oben),21:27,21:38,11.0,True
5549e35a-3bbc-5ffd-ad57-e7cfb000e7cc,Duisburg Hbf,13,ICE 102 InterCityExpress,Hannover Hauptbahnhof,21:47,21:55,8.0,True
7be72e19-4793-5b3b-8ce9-2dde81965165,Duisburg Hbf,4,ICE 844 InterCityExpress,Köln Messe/Deutz Bf,21:51,,,True
fe64e01a-24b3-5d29-bbb8-c73b0825cc86,Duisburg Hbf,12,ICE 528 InterCityExpress,Dortmund Hbf,21:51,22:20,29.0,True
54ddbd67-65fd-5270-b85e-b89090b53736,Bochum Hbf,5,ICE 1212 InterCityExpress,Dortmund Hbf,21:52,21:54,2.0,True
20d246b7-300b-54c4-a5da-d9b0961d13a6,Essen Hauptbahnhof,1,ICE 844 InterCityExpress,Köln Messe/Deutz Bf,21:38,,,True
b75311e0-3118-5590-992d-377a83567ad4,Essen Hauptbahnhof,6,ICE 1212 InterCityExpress,Dortmund Hbf,21:42,21:45,3.0,True
00fd616e-f1db-556c-bba0-f09bae018346,Düsseldorf Hbf,17,ICE 102 InterCityExpress,Hannover Hauptbahnhof,21:34,21:44,10.0,True
092cee32-2306-55e8-9cb9-0c6d2734f09a,Düsseldorf Hbf,18,ICE 528 InterCityExpress,Dortmund Hbf,21:38,22:07,29.0,True
98e69b26-d920-518a-8e06-9b1f45ca3719,Duisburg Hbf,4,ICE 207 InterCityExpress,Köln Hbf,22:13,22:14,1.0,True
b1f50d6e-bb96-587c-9a33-94b33da0f9f8,Bochum Hbf,5,ICE 102 InterCityExpress,Hannover Hauptbahnhof,22:10,22:31,21.0,True
a54173c2-dc70-58c5-b3f2-2f515aefe510,Bochum Hbf,6,ICE 528 InterCityExpress,Dortmund Hbf,22:14,22:58,44.0,True
8ad50a40-748d-5820-b3a0-186e26da4d43,Dortmund Hbf,16,ICE 542 InterCityExpress,Köln Hbf,22:14,,,True
40586dde-95cb-5485-a376-ca095b02f1e0,Essen Hauptbahnhof,1,ICE 207 InterCityExpress,Köln Hbf,22:00,22:00,0.0,True
a2382ace-7e9a-5caf-b78e-7b8331372905,Essen Hauptbahnhof,6,ICE 102 InterCityExpress,Hannover Hauptbahnhof,22:00,22:21,21.0,True
1b234e12-97b4-5203-a46f-337030b295c4,Essen Hauptbahnhof,4,ICE 528 InterCityExpress,Dortmund Hbf,22:04,22:48,44.0,True
909e08ef-ad98-5307-b7bc-41e30635efb7,Düsseldorf Hbf,15,ICE 854 InterCityExpress,Köln Hbf,21:52,,,True
350bc194-5bff-579e-9e00-357aec233f5c,Bochum Hbf,3,ICE 542 InterCityExpress,Köln Hbf,22:25,,,True
